RAUMCODE;RAUMBEZEICHNUNG
GA02A05;Büro
GA02A06;Büro
GA02A07;Büro
GA02A08;Sekretariat
GA02A10;Labor
GA02A12;Seminarraum
GA02A16;Labor
GA02B04;Labor
GA02B07;Gang
GA02B08;Archiv
GA02B11;Archiv
GA02B12;Vorraum
GA02B15;Gang
GA02B16;Bibliothek
GA02C02;Büro
GA02C03;Büro
GA02C04;Büro
GA02C06;Lernraum
GA02C08;Lernraum
GA02C10;Garderobe
GA02C11;Garderobe
GA02C13;Büro
GA02C14;Büro
GA02C16;Büro
GA02D07;Gang
GA02D09;Gang
GA02D12;Gang
GA02E06;EDV-Verteiler
GA02E13;Teeküche
GA02F06;WC
GA02F13;WC
GA02G06;WC
GA02G08;Stiege
GA02G11;Stiege
GA02G13;WC
GA02H06;Reinigungspersonal
GA02H13;Elektronik Labor
GA02J02;Büro
GA02J04;Büro
GA02J05;Büro
GA02J07;Gang
GA02J08;Gang
GA02J11;Labor
GA02J13;Labor
GA02J14;Besprechungsraum
GA02K02;Materiallager
GA02K03;Elektronik Labor
GA02K07;Büro
GA02K09;Büro
GA02K11;Büro
GA02K13;Büro
GA02K15;Sekretariat
GA02K17;Besprechungszimmer
GA02L03;Werkstatt
GA02M03;Balkon
GA07C02;Büro
GA07C04;Büro
GA07C05;Sozialraum, Küche
GA07C07;Besprechungsraum
GA07C08;Arbeitsraum
GA07D04;Gang
GA07D08;Bürotechnik
GA07D09;Serverraum
GA07D11;Arbeitsraum
GADGF16;Lüftung Lab.
GAEGD02;Gang
GAEGD03;Labor
GAEGE01;Lager
GAEGE06;2 WC, 2 Waschräume
GAEGF03;Labor
GAEGF05;Gang
GAEGF06;Gang
GAEGF07;1 WC, Waschraum, Dusche
GAEGF16;Lager
GAEGG08;Stiege
GAEGG11;Stiege
GAEGH03;Labor
GAEGH06;Labor Optik 2
GAEGH13;Labor
GAEGH15;Werkstatt
GAEGJ01;Chemielabor
GAEGJ03;Labor
GAEGJ04;Labor Optik 3
GAEGJ07;Reinraum Labor
GAEGJ11;Reinraum Labor
GAEGJ14;Labor Testen
GAEGK03;WC, Dusche
GAEGK04;WC, Dusche
GAEGK05;Gardeobe Gäste
GAEGK06;Technik Luftfilter
GAEGK07;Labor
GAEGK08;Technik Luftfilter
GAEGK09;Labor
GAEGK10;Technik Luftfilter
GAEGK11;Reinraum Labor
GAEGK13;Technik Luftfilter
GAEGK14;Labor Plasmaentwicklung
GAEGK15;Labor Rem
GAEGK18;Gasflaschenraum
GAEGL04;Reinraumgarderobe
GAEGL06;Reinraumgang
GAEGL14;Gang
GAEGM03;Messtechnik
GAEGM06;Technik Luftfilter
GAEGM07;Reinraum Labor
GAEGM09;Technik Luftfilter
GAEGM10;Reinraum Labor
GAEGM11;Technik Luftfilter
GAEGM12;Reinraum Labor
GAEGM13;Technik Luftfilter
GAEGM14;Labor Laserbearbeitung
GAEGM16;Tribologie Labor
GAU1A14;Stickstoffbehälter
GAU1J16;Kältemaschine
GAU1K02;Heliumballon
GAU1L04;Heliumkompressor
GAU1L06;Lüftungsanlage
GAU1L10;Neutralisation
GAU1L13;Lüftungsanlage
GAU1L15;Druckluftkompressor
GAU2K18;Vorraum
GAU2L18;Hebeanlage
GAU2M18;Hebeanlage
HA0101;Gang
HA0101A;WC
HA0101B;WC
HA0101F;Reinigungsmaterial
HA0102;Büro
HA0103;Sozialraum, Archiv
HA0105;Büro
HA0106;Besprechungsraum
HA0107;Büro
HA0109;Büro
HA0110;Büro
HA0111;Büro
HA0111A;EDV
HA0116;(GESTU) Büro
HA0120;(GESTU) Besprechungszimmer
HA0201;Gang
HA0201A;1 WC Damen
HA0201B;1 WC Herren
HA0201F;Reinigungsmaterial
HA0202;Besprechung
HA0203;Teeküche
HA0205;Labor 1
HA0206;Büro
HA0206A;Gang
HA0207;Labor 2
HA0208;Büro
HA0209;Sekretariat
HA0210;Büro
HA0211;Maschinenraum
HA0211A;Etagenverteiler
HA0213;Vorraum / Gang
HA0214;Büro
HA0216;Büro
HA0220;Büro
HA0301;Gang
HA0301A;WC
HA0301B;WC
HA0301C;Reinigungsmaterial
HA0301D;Vorraum
HA0302;Büro
HA0303;Teeküche
HA0303A;Lager
HA0305;EDV-Labor 1
HA0306;Büro
HA0307;EDV-Labor 2
HA0308;Büro
HA0309;EDV-Labor 3
HA0310;Büro
HA0311;Lager
HA0311A;Etagenverteiler
HA0311B;Vorraum
HA0312;Büro
HA0314;Büro
HA0316;Büro
HA0318;Büro
HA0320;Technologisches Labor
HA0401;Gang
HA0401A;WC
HA0401B;WC
HA0401F;Reinigungsmaterial
HA0402;EDV-LaborAREA
HA0402B;Vorraum
HA0403;Büro
HA0406;EDV-Labor
HA0407;Büro
HA0410;Büro
HA0411;Lager
HA0411A;Etagenverteiler
HA0416;Büro
HA0420;Smart Room, 3D Lab.
HA0501;Gang
HA0501A;WC
HA0501B;WC
HA0502;Labor
HA0503;Seminarraum FAV 05
HA0506;Labor
HA0506A;Gang
HA0509;Besprechungsraum
HA0509A;Teeküche / Lager
HA0509B;Etagenverteiler
HA0510;Labor
HA0514;Labor
HA0520;Labor
HA0520A;Reinigungsmaterial
HAEG01;Lager
HAEG01A;Papierlager
HAEG01B;WC
HAEG02;Techniker
HAEG02A;Aufzug
HAEG03;Gang
HAEG03A;Niederspannungsraum
HAEG03B;Windfang
HAEG04;Labor - Ofenraum
HAEG05;Lager
HAEG05A;Kellerstiege
HAEG05B;WC
HAEG05C;Batterieraum
HAEG09;Labor
HAEG09A;Abstellraum
HAEG11;Labor WM
HAEG11A;Lager
HAEG11B;Diele
HAEG12;Durchgang
HAEG13;WC, Vorraum
HAEG16;Labor WM1
HAEG22;Labor
HB0102;Reinigungsmaterial
HB0102A;Server Inst.
HB0104;Büro
HB0106;Büro
HB0108;Büro
HB0112;Büro
HB0114;Büro
HB0114A;Gang
HB0118;Büro
HB0122;Büro
HB0124;WC
HB0124A;WC
HB0126;Stiege 1
HB0202;Reinigungsmaterial
HB0202A;Server
HB0204;Büro Prof.
HB0206;Büro
HB0210;Büro
HB0214;Techniker / Büro
HB0218;Büro
HB0220;Büro
HB0222;Büro
HB0224;WC
HB0226;Stiege 1
HB0302;Reinigungsmaterial
HB0304;Sozialraum, Bespr.
HB0306;Techniker
HB0308;Büro
HB0312;Büro
HB0316;Büro
HB0320;Büro
HB0324;WC
HB0324A;WC
HB0326;Stiege 1
HB0402;Reingiungsmaterial
HB0402A;Serverraum
HB0404;Büro
HB0406;Labor
HB0408;Bibliothek
HB0412;Büro
HB0414;Büro
HB0416;Büro
HB0418;Büro
HB0420;Büro
HB0422;Büro
HB0424;WC Waschraum
HB0424A;WC Herren
HB0424B;WC Damen
HB0426;Stiege 1
HB0502;Reinigungsmaterial
HB0502A;Archiv
HB0504;Büro
HB0506;Büro
HB0508;Büro
HB0510;Büro
HB0512;EDV-Labor
HB0516;Büro
HB0518;Büro
HB0522;Büro
HB0524;WC
HB0524A;WC
HB0526;Stiege 1
HBEG02;Serverraum
HBEG10;Seminarraum FAV EG C
HBEG16;Seminarraum FAV EG B
HBEG20;Traforaum
HBEG20A;Gang
HBEG26;Stiege 1
HC0101;Büro
HC0102;WC Herren
HC0102A;Gang
HC0104;Sozialraum, Teeküche
HC0105;Besprechungsraum
HC0106;Stiege 2
HC0106A;Gang
HC0107;Büro
HC0108;Sozialraum, Teeküche
HC0108A;Gang
HC0110;WC Damen
HC0111;Büro
HC0113;Büro
HC0115;Büro
HC0201;Büro
HC0202;WC
HC0202A;Gang
HC0204;Büro
HC0205;Büro Prof.
HC0206;Stiege 2
HC0206A;Gang
HC0208;Teeküche / Bürotechnik
HC0208A;Gang
HC0209;Büro
HC0210;WC
HC0211;Büro
HC0215;Büro Prof.
HC0301;Büro Prof.
HC0302;WC
HC0302A;Gang
HC0304;Büro
HC0304A;Bürotechnik
HC0305;Büro
HC0306;Stiege 2
HC0306A;Gang
HC0308;Drucker
HC0308A;Dusche
HC0308B;Gang
HC0309;Sekretariat
HC0310;WC
HC0311;Büro Prof.
HC0315;Büro Prof.
HC0401;Büro Prof.
HC0402;WC
HC0402A;Gang
HC0404;Sozialraum, Küche
HC0405;Sekretariat
HC0406;Stiege 2
HC0406A;Gang
HC0407;Büro Prof.
HC0408;Sozialraum, Küche
HC0408A;Gang
HC0410;WC
HC0411;Büro Prof.
HC0413;Sekretariat
HC0415;Büro Prof.
HC0501;Büro Prof.
HC0502;WC
HC0502A;Gang
HC0504;Sozialraum, Küche
HC0505;Büro Prof.
HC0506;Stiege 2
HC0508;Sozialraum, Küche
HC0509;Sekretariat
HC0510;WC
HC0511;Sekretariat
HC0515;Büro Prof.
HCEG02;WC, Vorraum
HCEG02A;WC
HCEG02B;Gang
HCEG03;Büro Dipl.
HCEG04;USV-Anlage
HCEG04A;EDV-Verteiler
HCEG06;Stiege 2
HCEG06A;Entree
HCEG06B;Aufzug
HCEG08;Techniker
HCEG08A;Reinigungsmaterial
HCEG08B;Gang
HCEG09;Gang
HCEG10;WC
HCEG10A;WC
HCEG11;Kompressorraum
HCEG13;Labor
HCEG19;Büro
HD0101;EDV
HD0101A;Kopierraum
HD0103;Büro
HD0107;Büro
HD0111;Büro
HD0115;Büro
HD0119;Büro
HD0119A;Gang
HD0121;Büro
HD0123;Büro
HD0125;Büro
HD0201;Etagenverteiler
HD0201A;Server
HD0203;Büro Prof.
HD0205;Büro
HD0209;Büro
HD0211;Büro
HD0215;Büro
HD0219;Büro
HD0219A;Gang
HD0221;Büro
HD0223;Büro
HD0301;Etagenverteiler
HD0301A;Serverraum
HD0303;Büro
HD0305;Büro
HD0307;Büro
HD0309;Büro
HD0313;Büro
HD0315;Besprechungsraum
HD0315A;Gang
HD0319;Sekretariat
HD0319A;Gang
HD0323;Büro
HD0401;EDV
HD0401A;Server
HD0403;Büro Prof.
HD0405;Büro
HD0407;Büro
HD0409;Büro
HD0415;Labor
HD0419;Büro
HD0419A;Gang
HD0421;Büro
HD0423;Büro
HD0501;Etagenverteiler
HD0501A;Maschinenraum
HD0501B;Gang
HD0503;Büro
HD0505;Büro
HD0509;Büro
HD0513;Büro
HD0515;Büro
HD0517;Büro
HD0519;Büro
HD0519A;Gang
HD0523;Büro
HDEG01;Roboterlabor
HDEG05;Windfang
HDEG21;Entree
HE0101;Gang
HE0101A;WC, Waschraum Herren
HE0102;Seminarraum FAV 01 A
HE0108;Seminarraum FAV 01 C
HE0113A;3 WC, Waschraum Damen
HE0115;Stiege 4
HE0115B;Abstellraum
HE0116;Büro
HE0119;Gang
HE0120;Büro
HE0124;Büro
HE0131A;WC Herren, Waschraum
HE0132;Büro
HE0135A;WC Damen, Waschraum
HE0136;Büro
HE0140;Büro
HE0146;Büro
HE0150;Büro
HE0154;Büro
HE0201;Gang
HE0201A;WC
HE0201B;WC
HE0202;Besprechung / Bibliothek
HE0203;Rampe
HE0204A;Gang
HE0205;Büro
HE0206;Labor/Übung
HE0209;Büro
HE0210;Büro Dipl.
HE0210A;Maschinenraum
HE0213;Büro
HE0214;Sekretariat
HE0215;Stiege 4
HE0215A;WC
HE0216;Labor
HE0216A;Gang
HE0219;Gang
HE0219A;Reinigungsmaterial
HE0220;Büro
HE0224;Büro
HE0231;Gang
HE0231A;WC
HE0232;Informatiklabor Breakout
HE0235A;WC
HE0236;Informatiklabor Zelda
HE0240;Büro
HE0244;Büro
HE0246;Büro Dipl.
HE0250;Labor
HE0254;Büro Ass.
HE0254A;Teeküche
HE0301;Gang
HE0301A;Besprechungsraum
HE0302;Büro
HE0303;Rampe
HE0304;Technologisches Labor
HE0305;Büro
HE0308;Büro
HE0309;Büro
HE0310;Büro
HE0313;Reinigungsmaterial
HE0314;Büro
HE0315;Stiege 4
HE0315B;WC
HE0316;Büro
HE0316A;Gang
HE0317C;Aufzug
HE0318;Büro
HE0319;Bibliothek
HE0319A;Teeküche
HE0320;Büro
HE0323;Büro
HE0324;Sozialraum
HE0327;Büro
HE0331;WC Damen
HE0332;Büro
HE0332A;Gang
HE0333;Vorraum
HE0335;WC Herren
HE0336;Büro
HE0337;Küche, Sozialraum
HE0337A;Abstellraum
HE0340;Büro
HE0344;Büro
HE0346;Büro
HE0348;Büro
HE0350;Büro
HE0354;Sozialraum
HE0354A;Besprechungsraum
HE0354B;Gang
HE0401;Gang
HE0401A;WC
HE0401B;WC
HE0402;Labor
HE0405;Archiv
HE0405A;Rampe
HE0406;Labor
HE0409;Teeküche
HE0409A;Gang
HE0410;Büro
HE0413;Server
HE0414;Büro
HE0415;Aufzug Maschinenraum
HE0416;Büro
HE0417;Stiege 4
HE0417A;Reinigungsmaterial
HE0420;Büro
HE0423;Gang
HE0424;Büro
HE0426;Dachboden
HE0432;Büro
HE0434;Büro
HE0438;Büro
HE0440;Büro
HE0444;Büro
HE0446;Labor
HE0452;Büro
HE0454A;WC
HE0454B;Vorraum
HE0454C;WC
HEEG01;Gang, Garderobe
HEEG01A;E-Verteiler
HEEG02;FAV Hörsaal 1
HEEG03;FAV Hörsaal 2
HEEG03A;AR Trennwand
HEEG11;Garderobe
HEEG14;Entree/Windfang
HEEG15;Stiege 4
HEEG15A;Kellerstiege
HEEG16;Müllraum
HEEG17;Gang
HEEG17A;Gang
HEEG17B;Abstellraum
HEEG17C;Aufzug
HEEG17D;Abstellraum
HEEG19;Garderobe, Duschen
HEEG22A;Abstellraum
HEEG31;Stiege 5
HEEG35;WC
HEEG35A;WC
HEEG37;Gang
HEEG37A;Abstellraum Zvw
HEEG37B;Waschraum
HEEG44;Reinigung/Gard/Lager
HEEG44A;Waschraum
HEEG44B;Dusche
HEEG48;Besprechungsraum
HEEG50;Werkstatt
HEEG54A;Sozialraum
HF0103;WC Behinderte
HF0105;Stiege 3
HF0109;Seminarraum FAV 01 B
HF0203;WC Behinderte
HF0205;Stiege 3
HF0209;Seminarraum 187/2
HF0302C;Aufzug
HF0303;WC Behinderte
HF0305;Stiege 3
HF0309;Abstellraum
HF0311;Besprechungsraum
HF0317;Bibliothek
HF0317A;Teeküche
HF0401;Archiv
HF0403;WC Behinderte
HF0403A;Haustechnikschacht
HF0405;Stiege 3
HF0409;Bespr. / Küche
HF0413;Büro
HF0501;Kopierraum
HF0503;Archiv
HF0503A;WC Behinderte
HF0503B;Dusche
HF0505;Stiege 3
HF0509;Techniker
HF0513;Büro
HF0517;Büro
HFEG01;Serverraum 2
HFEG01A;Serverraum 3
HFEG01B;Haustechnik
HFEG02;Serverraum 1
HFEG02C;Aufzug
HFEG05;Stiege 3
HFEG15;Gang
HFEG15A;Abstellraum, Technik
HFEG15C;Kellerstiege
HG0101;Büro
HG0102;Etagenverteiler
HG0102A;Gang
HG0102B;WC
HG0102C;WC
HG0105;Büro
HG0106;Teeküche
HG0108;Büro
HG0109;Büro
HG0110;Büro
HG0111;Büro
HG0115;Büro
HG0119;Büro
HG0201;Büro
HG0202;Etagenverteiler
HG0202A;Gang
HG0202B;WC Damen, Waschraum
HG0202C;WC Herren, Waschraum
HG0204;Telekommunikation
HG0205;Büro
HG0206;Büro
HG0209;Büro
HG0210;Büro
HG0211;Büro
HG0212;Sozialraum
HG0215;Büro
HG0219;Büro
HG0301;Büro
HG0302;Etagenverteiler
HG0302A;Gang
HG0302B;WC
HG0302C;WC
HG0304;Maschinenraum
HG0304A;Abstellraum
HG0305;Büro
HG0306;Büro
HG0307;Büro
HG0308;Gang
HG0309;Büro
HG0310;Techniker, Server
HG0311;Büro Prof.
HG0312;Büro
HG0314;Büro
HG0315;Büro Prof.
HG0319;Büro
HG0401;Büro
HG0401A;Gang
HG0402;Etagenverteiler
HG0404;Archiv
HG0405;Techniker
HG0406;Büro
HG0409;Büro
HG0410;Büro
HG0411;Büro
HG0412;Büro
HG0414;Büro Ass.
HG0415;Büro
HG0419;Lager
HG0502;Bibliothek
HGEG01;Sonderlabor
HGEG01A;Informatiklabor Q*bert
HGEG05;Informatiklabor Frogger
HGEG06;Kellerstiege
HGEG08;Gang
HGEG08A;Reinigung/Wasseranschluss
HGEG10;WC Behinderte
HGEG10A;WC
HGEG10B;WC
HGEG11;Vorraum
HGEG12;Server
HGEG15;Informatiklabor Pong
HGEG19;Vorraum
HHEG01;FAV Hörsaal 3 Zemanek
HHEG01A;Gang
HHEG01B;Portierloge
HHEG02;Servicegang
HHEG02A;Erste Hilfe, Gard.
HHEG02B;Ladestation Reinigung
HHEG05;Abstellraum
HHEG07;Foyer, Halle
HHEG07A;3 WC, Waschraum Damen
HHEG07B;2 WC, Waschraum Herren
HIEG02;Werkstatt
HIEG06;Werkstatt
HIEG08;Werkstatt
HIEG12;Windfang
HK0301;Büro
HK0302;Büro
HK0305;Büro
HK0306;Büro
HK0306A;Gang
HK0307;WC
HK0307A;Teeküche
HK0309;Vorraum
HK0309A;Abstellraum
HK0310;Büro
HK0311;Büro
HK0315;WC
HK0315A;Vorraum
HK0316;Büro
HK0317;WC
HK0317A;Waschraum
HK0318;Büro
HK0319;Büro
HK0320;Büro
HK0401;Büro
HK0402;Besprechungszimmer
HK0402A;Vorraum
HK0403;Büro
HK0404;Büro
HK0406;Büro
HK0407;Büro
HK0410;Büro
HK0410A;Etagenverteiler
HK0410B;Gang
HK0411;Vorraum
HK0415;WC Herren
HK0415A;Küche
HK0416;Büro
HK0417;WC Damen
HK0417A;WC, Vorraum
HK0419;Büro
HK0420;Büro
HK0421;Büro
HKEG01;Abstellraum
HKEG02;Besprechungsraum
HKEG03;Büro
HKEG04;Seminarraum
HKEG05;Büro
HKEG07;WC
HKEG07A;Küche
HKEG09;Vorraum
HKEG09A;Vorraum
HL0101;Büro
HL0102;Teeküche
HL0104;Gang
HL0105;Büro
HL0107;Büro
HL0108;Besprechungsraum
HL0108A;Serverraum
HL0111;Büro
HL0115;Büro
HL0121;WC Herren
HL0121A;WC Damen
HL0401;Büro
HL0402;Serverraum Lager
HL0408;Empfang / Gang
HL0409A;Gang
HL0411;Besprechungsraum
HL0412A;Lager
HL0415;Küche Sozialraum
HL0416;Kopierraum
HL0420;Abstellraum
HL0421;WC Damen
HL0422;Büro
HL0428;Büro
HL0429;WC Herren
HL0429A;Vorraum
HL0431;Vorraum
MAEG01;Büro
MAEG01A;WC
MAEG03;Büro
MAEG03A;Gang
MAEG05;Büro
MAEG05A;Seminarraum
MAEG07;Büro
MAEG09;Büro
MAEG09B;Gang
MAEG11;Labor
MAEG11A;Rechnerraum, Maschinenraum
MAEG13;Heizraum
MAEG13A;Büro
MBEG01;Lager
MBEG11;Lager
MBEG13;Windfang
MBEG13A;Portierloge
MBEG16;Werkhalle
MBEG16A;Vorraum
MBEG16B;WC
MBEG28;Seminarraum Funke Halle
MCEG01;Lager
MCEG05;Lager
MCEG09;Lager
MDEG01;Lager
MDEG02;Wasserbaulabor
MDEG07;Werkstatt
MDEG18;Wasserbaulabor
MDEG25;Sozialraum
MDEG25A;Dusche, Vorraum
MDEG27;WC Herren + Vorraum
MDEG29;Sekretariat
MDEG29A;WC Damen + Vorraum
MDEG31;WC Behinderte
MDEG33;Windfang
MDEG33A;Gang
MDEG35;Büro
MDEG35A;EDV
MDEG41;Entlüftungsschacht
MDEG43;Büro
MDEG43A;Abstellraum
MDEG47;Büro
MDEG51;Seminarraum
MDU108;Pumpenraum
MDU112;Installationsgang
MDU133;Lager
MDU135;Lager
MDU143;Lager
MDU143A;Vorraum
MDU151;Heizraum
MDU151A;Tankraum Oeltank
MDU155;Schleuse
MEEGA12;Büro Ass.
MEEGA13;Sekretariat
MEEGA14;Büro Abteilungsleit.
MEEGA15;Büro Ass.
MEEGA16;Biomechanikraum
MEEGA17;Biomechanikraum
MEEGB12;Vorraum, Gang
MEEGB13;Stiege
MEEGC16;Labor
MEEGD12;Seminarraum
MEEGD13;Teeküche
MEEGD14;Lager
MEEGD15;Gang
MEEGD16;Labor
MEEGD17;Maschinenraum
MEEGE01;TU-Racing-Team
MEEGE10;WC Behinderte
MEEGE14;Messgeräte
MEEGF06;Büro
MEEGF07;Sozialraum
MEEGF08;Vorraum
MEEGF09;Garderobe, Dusche D
MEEGF10;Garderobe, Dusche H
MEEGF14;Dunkelkammer
MEEGF15;Vorraum
MEEGG04;E-Zähler
MEEGG05;TU-Racing-Team
MEEGG08;Büro
MEEGG09;2 WC, Waschraum Damen
MEEGG10;WC, Pissr., Waschraum Herren
MEEGG11;Vorraum
MEEGG14;Gang
MEEGH03;TU-Racing-Team
MEEGH08;Labor
MEEGH09;Gang
MEEGI01;Laserlabor
MEEGI04;TU-Racing-Team
MEEGI06;Lagerraum
MEEGI07;Gang
MEEGI10;Lager
MEEGI12;Lager
MEEGI14;Geräteraum
MEEGI17;Mehrzweckraum
MEEGK06;Labor
MEEGK07;Lager
MEEGK08;Werkstatt
MEEGL16;Geräteraum
MEEGL17;Temperöfen
MEEGM04;Laser
MEEGM05;Laser
MEEGM06;Labor
MEEGM08;Labor
MEEGM09;Labor, Nassraum
MEEGM10;Labor
MEEGM12;Maschinenwerkstätte
MEEGM14;Feinwerkstätte
MEEGN01;Laser
MEEGO01;Übergaberaum
MEEGO02;Büro
MEEGO03;Büro
MEEGO04;Büro
MEEGO05;Laborant
MEEGO06;Büro
MEEGO11;Büro bei Labor
MEEGO13;Personalraum
MEEGO14;Werkmeister
MEEGO15;Büro
MEEGO17;Vorbereitungsraum
MEU1A10;Notausstieg
MEU1A11;Schacht
MEU1A12;Lager
MEU1A13;Klimaraum
MEU1B11;Schacht
MEU1B12;Vorraum
MEU1B13;Stiege
MEU1C11;Schacht
MEU1C12;Öltank
MEU1C13;Heizraum
MEZEM06;Lüftung
MEZEM08;Bühne II Stiege
MEZEM12;Bühne I , Stiege
MEZEM14;Bühne I
MG0101;Büro - Auswert. Materialprüf
MG0104;Gang
MG0106;Büro - Auswert. Betonversuche
MG0109;Stahllabor
MG0114;Holzlabor
MG0115;Gang
MGEG01;Labor
MGEG04;Gang
MGEG05;Labor-Mechanische Prüfung
MGEG06;Lager
MGEG09;Stahllabor
MGEG14;Holzlabor
MGEG15;Gang
MH0101;Forschungslabor
MH0101A;Schallschutzmessung
MH0101B;Vorraum
MH0101C;Schallschutzlabor
MH0107;Mehrzweckraum
MH0107A;Gang
MH0108;Feuchtschutzlabor
MH0108A;Vorraum
MH0110;Wärmeschutzlabor
MH0111;Büro
MH0113;Sanierungslabor
MH0113A;Vorraum, WC Herren
MH0115A;Abstellraum
MH0115B;Vorraum, WC Damen
MH0117;Evd-Labor
MH0117A;WC Behinderte
MH0118;Büro
MH0119A;Gang
MH0120;Büro
MH0121A;Drucker u. Kopierraum
MH0121B;Kleinteillager
MH0122;Büro
MH0125;Gang
MH0126;Labor - Studenten
MH0126A;Gang
MH0130;Büro Dipl.
MH0132;Sozialraum
MHEG01;Brandschutzlabor
MHEG01C;EDV-Raum
MHEG01D;Technikraum
MHEG01E;Gang
MHEG01F;Trafor. Niederrspannung, Meßr.
MHEG07;Windfang
MHEG07A;Stiegenhaus
MHEG08;Heizraum
MHEG08A;Schleuse
MHEG09;Chemielabor
MHEG09A;Vorraum
MHEG10;Tankraum
MHEG11A;Stinkraum
MHEG11B;Installationsschacht
MHEG13;Beton-Zement-Sieblabor
MHEG13A;WC Herren
MHEG15A;WC Damen
MHEG15D;Klimakammer
MHEG18;Labor-Strukturuntersuchung
MHEG18A;Gang
MHEG25;Gang
MHEG26;Elektronik Labor
MHEG32;WC Behinderte
MHEG34;Lager
MIEG09;Lager
MQEG01;Öl- u. Gasflaschenlager
OA01A29;Messkabine
OA01C11;Terrasse
OA01C23;Vorhalle
OA01D03;Büro
OA01D19;Galerie, Lager
OA01D23A;Stiege
OA01D23B;Putzmaterial
OA01D25;Gang
OA01D59;Galerie
OA01D91;Büro
OA01E23A;Teeküche
OA01E23B;2 WC, Waschraum Damen
OA01E29;HS O221
OA01E91;Büro
OA01F03;Stiege
OA01F07;Teeküche
OA01F23;2 WC, Waschraum Herren
OA01F27;Schacht
OA01F65;Gang
OA01F81;Besprechungsraum
OA01F87;Stiege
OA01F91;Teeküche
OA01G59;Meisterkabine
OA01G65;Labor
OA01G71;Labor
OA01G73A;Labor
OA01G73B;Schacht
OA01G77;Abstellraum
OA01G81;2 WC, Waschraum Damen
OA01G83;2 WC, Waschraum Herren
OA01G91;Büro
OA01H65;Technikraum
OA01H77;Auswerteraum
OA01H81;Büro
OA01H87;Büro
OA01H91;Büro
OA01J78;Gang
OA01K14;Solarlabor
OA01L28A;Steuerwarte
OA01L28B;Steuerwarte
OA01L32;Steuerwarte
OA01L38;Steuerwarte
OA01L60;Wartungsfläche
OA01M28;Steuerwarte
OA01M32;Stiege
OA01M36;Gang
OA01M38;Serverraum
OA01N04;Galerie
OA01N10;Gang
OA01N26;Filterkammer
OA01N28;2 WC, Waschraum Damen
OA01N30;1 WC, Waschraum Herren
OA01N32;Gang
OA01N36;Technik
OA01N38;NSHV 2
OA01O04;Stiege
OA01O08;Büro
OA01O10;Büro
OA01O14;Büro
OA01O18;Büro
OA01O20;Büro
OA01O24;Büro
OA01O26;Büro
OA01O30;Teeküche
OA01O32;Büro
OA01O36;Büro
OA01O38;Büro
OA01O42;Büro
OA02L66;Technik
OA02L76;Stiege
OA02M66;Widerstandsraum
OAEGA09;Thermoölanlage
OAEGA15;Thermoölanlage
OAEGA29;Container (5 Teile)
OAEGB27;Vorhalle
OAEGB61;Müllplatz 1
OAEGB79;Trafostation
OAEGB89;Chemikalien- Container
OAEGC11;Seminarraum O221-1
OAEGC23;Foyer
OAEGC25;Stiege
OAEGC39;Teeküche
OAEGC45;Seminarraum O221-2
OAEGD03;Büro
OAEGD07;Halle 3
OAEGD19;Schweissen
OAEGD23;2 WC, Waschraum Damen
OAEGD23A;Stiege
OAEGD25;Gang
OAEGD39;Halle 4
OAEGD53;Stiege
OAEGD65;Lehrwerkstätten
OAEGD71;Lehrwerkstätten
OAEGD91;Sozialraum
OAEGE21;Lackieren
OAEGE23;2 WC, Waschraum Herren
OAEGE25;Schacht
OAEGE91;Gang
OAEGE93;Sekretariat
OAEGF03;Stiege
OAEGF11;Modelltischlerei
OAEGF23;WC Behinderte
OAEGF27;Schleuse
OAEGF37;Nebenraum
OAEGF63;Gang
OAEGF65;Formenbau, Modelle
OAEGF73;Generative Fertigung
OAEGF77;2 WC, Waschraum Herren
OAEGF79;Gard., Dusche Herren
OAEGF83;Gard., Dusche Damen
OAEGF85;2 WC, Waschraum Damen
OAEGF87;Vorhalle, Stiege
OAEGF93;Windfang
OAEGG03;Halle 2
OAEGG13;Messkabine
OAEGG15;Messkabine
OAEGG39;Halle 5
OAEGG59;Wasserstrahlschneiden
OAEGG77;E-Technik
OAEGG85;WC Behinderte
OAEGG87;Putzraum
OAEGG91;Gang
OAEGG93;Büro
OAEGH59;Feinstaufbereitung
OAEGH65;Reinraum
OAEGH77;Schleuse
OAEGH81;Büro
OAEGH85;Büro
OAEGH89;Teeküche
OAEGH91;Büro
OAEGJ65;Messraum
OAEGK14;Solarlabor
OAEGL04;Halle 1
OAEGL28;Messgeräte
OAEGL32;Trafo
OAEGL36;Gang
OAEGL38;Stromversorgung
OAEGL40;Halle 6
OAEGL60;Paneelbox
OAEGL66;Labor
OAEGL72;Technik
OAEGL76;Stiege, Vorraum
OAEGL78;Stiege
OAEGL80;Lager
OAEGM28;Messgeräte
OAEGM32;Gang, Stiege
OAEGM34;Gard., Dusche Damen
OAEGM38;ÖL- Lager
OAEGN04;KHD-GT
OAEGN08;Steuerwarte
OAEGN10;Rover-GT
OAEGN26;Filterkammer
OAEGN28;Vorraum
OAEGN30;Putzmaterial
OAEGN32;WC
OAEGN34;WC
OAEGN36;Gard., Dusche Herren
OAEGN66;Druckluft
OAEGO04;Stiege
OAEGO08;Öllager
OAEGO12;Technik
OAEGO22;Technik
OAEGO26;Gang
